reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",0.0,0.0,0.0,0.0,0.0,1000,130.2340030670166
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,0|FILTER,>0,2",0.0,0.0,0.0,0.0,0.0,1001,141.9064998626709
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0",0.0,0.0,0.0,0.0,0.0,1000,120.91827392578124
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",0.0,0.0,0.0,0.0,0.0,119,20.79916000366211
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",0.0,0.0,0.0,0.0,0.0,119,25.146961212158203
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",1.0,1.0,1.0,1.0,1.0,221,53.55072021484375
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",0.0,0.0,0.0,0.0,0.0,206,42.51551628112793
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,185.44459342956543
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,184.2799186706543
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,175.68278312683103
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3","LIST|LIST|LIST|ZIPWITH,-,0,2|ZIPWITH,+,3,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|LIST|ZIPWITH,-,0,2|ZIPWITH,+,3,1",0.0,0.0,0.0,0.0,0.0,420,80.01852035522461
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1","LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",1.0,1.0,1.0,1.0,1.0,420,54.25143241882324
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",0.5,0.5,0.5,0.5,0.5,5,0.9996891021728516
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,114.48121070861816
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",0.0,0.0,0.0,0.0,0.0,148,32.84883499145508
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,159.02137756347656
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,157.40132331848145
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,133.1496238708496
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,166.21088981628418
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",0.0,0.0,0.0,0.0,0.0,1000,203.33385467529297
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",0.0,0.0,0.0,0.0,0.0,1000,168.69187355041504
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,max,0,1",0.0,0.0,0.0,0.0,0.0,1000,173.8262176513672
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,186.295747756958
"LIST|LIST|TAIL,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,1,2",0.0,0.0,0.0,0.0,0.0,1000,217.8642749786377
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,0,0",0.5,0.0,0.5,0.0,0.25,1000,172.00994491577148
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",1.0,1.0,1.0,1.0,1.0,230,59.75031852722168
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",1.0,1.0,1.0,1.0,1.0,242,30.51471710205078
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",1.0,1.0,1.0,1.0,1.0,146,35.11786460876465
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",0.0,0.0,0.0,0.0,0.0,157,39.115190505981445
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",0.0,0.0,0.0,0.0,0.0,1000,151.14545822143555
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2","LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",1.0,1.0,1.0,1.0,1.0,806,143.37849617004397
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",0.0,0.0,0.0,0.0,0.0,146,41.72706604003906
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",0.0,0.0,0.0,0.0,0.0,146,22.77088165283203
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,2,0",0.5,0.5,0.5,0.5,0.5,679,126.41167640686037
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1","LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,-,1,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,-,1,2",0.0,0.0,0.0,0.0,0.0,143,32.529592514038086
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2","LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",1.0,1.0,1.0,1.0,1.0,725,80.69920539855957
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,0",0.0,0.0,0.0,0.0,0.0,1000,145.6623077392578
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",0.0,0.0,0.0,0.0,0.0,13,0.8339881896972656
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",0.0,0.0,0.0,0.0,0.0,5,0.0
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2","LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",0.5,0.5,0.5,0.5,0.5,215,52.3381233215332
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2","LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",0.5,0.5,0.5,0.5,0.5,194,28.5036563873291
"LIST|MAP,**2,0|FILTER,<0,1","LIST|MAP,*4,0|FILTER,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*4,0|FILTER,ODD,1",0.0,0.0,0.0,0.0,0.0,298,73.49157333374023
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|MAP,*-1,0|COUNT,>0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|COUNT,>0,1",1.0,1.0,1.0,1.0,1.0,60,6.120920181274414
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|SCAN1L,max,1",1.0,1.0,1.0,1.0,1.0,52,5.897045135498047
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,72,8.707284927368164
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|ZIPWITH,+,0,0|SCAN1L,max,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|ZIPWITH,+,0,0|SCAN1L,max,1",0.5,0.5,0.5,0.5,0.5,204,8.707284927368164
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|MAP,*4,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,*,0,0|MAP,*4,1",0.0,0.0,0.0,0.0,0.0,28,0.0
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,*3,0|ZIPWITH,min,1,0",0.5,0.5,0.5,0.5,0.5,328,78.02891731262207
"LIST|MAP,*4,0|MAP,**2,1","LIST|MAP,*4,0|ZIPWITH,*,1,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|MAP,*4,0|ZIPWITH,*,1,1",0.5,0.5,0.5,0.5,0.5,723,145.83635330200195
"LIST|MAP,*4,0|REVERSE,1","LIST|MAP,*4,0|REVERSE,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*4,0|REVERSE,1",1.0,1.0,1.0,1.0,1.0,630,90.70205688476562
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|ZIPWITH,-,0,0|MAP,*3,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,-,0,0|MAP,*3,0",0.0,0.0,0.0,0.0,0.0,23,13.486385345458984
"LIST|MAP,+1,0|COUNT,>0,1","LIST|MAP,*-1,0|COUNT,>0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|COUNT,>0,0",0.0,0.0,0.0,0.0,0.0,61,11.002779006958008
"LIST|MAP,+1,0|REVERSE,1","LIST|MAP,+1,0|REVERSE,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,+1,0|REVERSE,1",1.0,1.0,1.0,1.0,1.0,388,69.21982765197754
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|ZIPWITH,min,0,0|MAP,+1,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,min,0,0|MAP,+1,1",0.0,0.0,0.0,0.0,0.0,26,2.0062923431396484
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,-1,0|FILTER,>0,1",1.0,1.0,1.0,1.0,1.0,682,75.63519477844238
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,-1,0|FILTER,ODD,1",1.0,1.0,1.0,1.0,1.0,268,48.61044883728027
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|ZIPWITH,min,0,0|MAP,/2,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,min,0,0|MAP,/2,1",0.0,0.0,0.0,0.0,0.0,28,3.912925720214844
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,/4,0|HEAD,1",1.0,1.0,1.0,1.0,1.0,478,79.65445518493652
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,/4,0|MAXIMUM,1",1.0,1.0,1.0,1.0,1.0,480,63.00806999206543
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|ZIPWITH,min,0,0|MAP,/4,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,min,0,0|MAP,/4,1",0.0,0.0,0.0,0.0,0.0,32,0.0
"LIST|REVERSE,0|MAP,/4,1","LIST|MAP,/4,0|REVERSE,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/4,0|REVERSE,1",0.0,0.0,0.0,0.0,0.0,310,31.862497329711918
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|REVERSE,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,*,0,0|REVERSE,1",0.0,0.0,0.0,0.0,0.0,70,16.97516441345215
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0","LIST|SCAN1L,*,0|ZIPWITH,max,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|SCAN1L,*,0|ZIPWITH,max,1,0",1.0,1.0,1.0,1.0,1.0,420,65.45329093933105
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*3,0|SCAN1L,+,1",0.0,0.0,0.0,0.0,0.0,446,74.33676719665527
"LIST|SCAN1L,+,0|MAP,/4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/4,0|SCAN1L,+,1",0.0,0.0,0.0,0.0,0.0,1000,108.9320182800293
"LIST|SCAN1L,-,0|FILTER,<0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,-,0,0|FILTER,>0,1",0.0,0.0,0.0,0.0,0.0,1000,122.88570404052734
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/3,0|SCAN1L,max,1",0.0,0.0,0.0,0.0,0.0,604,58.80427360534668
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|ZIPWITH,min,0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,min,0,0",0.0,0.0,0.0,0.0,0.0,2,0.0
"LIST|SCAN1L,min,0|SCAN1L,*,1","LIST|SCAN1L,min,0|SCAN1L,*,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|SCAN1L,min,0|SCAN1L,*,1",1.0,1.0,1.0,1.0,1.0,663,93.96934509277344
"LIST|SORT,0|ZIPWITH,max,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|SCAN1L,max,0",0.0,0.0,0.0,0.0,0.0,1003,145.36070823669434
"LIST|TAIL,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/2,0|FILTER,ODD,1",0.0,0.0,0.0,0.0,0.0,1000,143.38970184326172
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|ZIPWITH,*,0,0|MAP,/2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|ZIPWITH,*,0,0|MAP,/2,1",1.0,1.0,1.0,1.0,1.0,38,10.53142547607422
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|ZIPWITH,+,0,0|MAP,*3,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|ZIPWITH,+,0,0|MAP,*3,1",1.0,1.0,1.0,1.0,1.0,182,36.23509407043457
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|ZIPWITH,+,0,0|SCAN1L,-,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|ZIPWITH,+,0,0|SCAN1L,-,1",1.0,1.0,1.0,1.0,1.0,124,23.19955825805664
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|ZIPWITH,+,0,0|ZIPWITH,max,1,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|ZIPWITH,+,0,0|ZIPWITH,max,1,0",0.5,0.5,0.5,0.5,0.5,168,39.50810432434082
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|ZIPWITH,-,0,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|ZIPWITH,-,0,0",0.5,0.5,0.5,0.5,0.5,2,0.0
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|MAP,*2,0|COUNT,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*2,0|COUNT,ODD,1",0.0,0.0,0.0,0.0,0.0,546,66.57123565673828
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,1",0.5,0.5,0.5,0.5,0.5,5,0.0
"LIST|ZIPWITH,max,0,0|COUNT,>0,1","LIST|MAP,*-1,0|COUNT,>0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|COUNT,>0,0",0.0,0.0,0.0,0.0,0.0,61,12.784481048583984
"LIST|ZIPWITH,max,0,0|TAIL,1","LIST|MAP,*-1,0|TAIL,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|TAIL,0",0.0,0.0,0.0,0.0,0.0,73,10.18357276916504
"LIST|ZIPWITH,max,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,min,0,0|ZIPWITH,+,1,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,min,0,0|ZIPWITH,+,1,1",0.0,0.0,0.0,0.0,0.0,10,2.0275115966796875
"LIST|ZIPWITH,min,0,0|FILTER,>0,1","LIST|MAP,*-1,0|FILTER,>0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|FILTER,>0,0",0.0,0.0,0.0,0.0,0.0,43,5.018711090087891
"LIST|ZIPWITH,min,0,0|ZIPWITH,*,1,0","LIST|ZIPWITH,*,0,0",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,*,0,0",0.0,0.0,0.0,0.0,0.0,2,0.0
"LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,0","LIST|ZIPWITH,min,0,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|ZIPWITH,min,0,0",0.5,0.5,0.5,0.5,0.5,2,0.0
