reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0",0.5,0.5,0.5,0.5,0.5,1000,105.86881637573242
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",0.5,0.5,0.5,0.5,0.5,1000,94.90847587585448
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,+,0,0|FILTER,EVEN,1",0.5,0.5,0.5,0.5,0.5,1004,110.54539680480956
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0",0.5,0.5,0.5,0.5,0.5,1000,110.0294589996338
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",True,0.0,0.6,0.6,0.6,0.6,0.6,"LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",0.6,0.6,0.6,0.6,0.6,125,13.010025024414062
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",True,0.0,0.6,0.6,0.6,0.6,0.6,"LIST|LIST|INT|ZIPWITH,min,0,0|DROP,2,3",0.6,0.6,0.6,0.6,0.6,125,17.743349075317383
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",1.0,1.0,1.0,1.0,1.0,221,14.68181610107422
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",True,0.0,0.6,0.6,0.6,0.6,0.6,"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",0.6,0.6,0.6,0.6,0.6,206,34.511566162109375
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,178.4658432006836
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,124.50957298278809
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,188.08364868164065
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3","LIST|LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,3,2",True,0.0,0.6,0.6,0.6,0.6,0.6,"LIST|LIST|LIST|ZIPWITH,+,0,1|ZIPWITH,-,3,2",0.6,0.6,0.6,0.6,0.6,237,30.009031295776367
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1","LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",1.0,1.0,1.0,1.0,1.0,436,47.6222038269043
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",True,0.0,0.75,0.75,0.5,0.75,0.6875,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",0.75,0.75,0.5,0.75,0.6875,5,0.0
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1001,113.86823654174805
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",0.5,0.5,0.5,0.5,0.5,166,29.173851013183597
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,101.8352508544922
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,148.39625358581543
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,117.52748489379884
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,102.49042510986328
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",0.5,0.5,0.5,0.5,0.5,1000,161.89146041870117
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",0.5,0.5,0.5,0.5,0.5,1001,115.20671844482422
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",0.5,0.5,0.5,0.5,0.5,1000,153.54466438293457
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,171.71001434326172
"LIST|LIST|TAIL,0|TAKE,2,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,1,1",0.5,0.5,0.5,0.5,0.5,1001,153.23543548583984
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,*,2,2",0.5,0.5,0.5,0.5,0.5,1001,131.68978691101074
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",1.0,1.0,1.0,1.0,1.0,236,50.65584182739258
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",1.0,1.0,1.0,1.0,1.0,227,65.54603576660156
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",1.0,1.0,1.0,1.0,1.0,155,20.55525779724121
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",0.5,0.5,0.5,0.5,0.5,148,25.27022361755371
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,-,2,1",0.5,0.5,0.5,0.5,0.5,1000,208.48631858825684
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2","LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",1.0,1.0,1.0,1.0,1.0,797,114.27712440490724
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",0.5,0.5,0.5,0.5,0.5,155,41.14580154418945
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",0.5,0.5,0.5,0.5,0.5,155,25.099515914916992
"LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,0,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,186.32888793945312
"LIST|LIST|ZIPWITH,-,1,0|ZIPWITH,+,2,1","LIST|LIST|ZIPWITH,+,1,1|ZIPWITH,-,2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,+,1,1|ZIPWITH,-,2,0",0.5,0.5,0.5,0.5,0.5,966,156.18038177490234
"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2","LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|LIST|ZIPWITH,max,0,1|MAP,+1,2",1.0,1.0,1.0,1.0,1.0,728,104.98642921447754
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,*,1,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|LIST|ZIPWITH,*,0,0",0.5,0.5,0.5,0.5,0.5,1000,136.3241672515869
"LIST|LIST|ZIPWITH,max,1,0|ZIPWITH,min,2,2","LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,max,2,1",0.5,0.5,0.5,0.5,0.5,13,2.0051002502441406
"LIST|LIST|ZIPWITH,min,0,1|ZIPWITH,min,0,2","LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",True,0.0,0.5,0.5,0.5,0.5,0.5,"LIST|LIST|ZIPWITH,min,0,0|ZIPWITH,min,2,1",0.5,0.5,0.5,0.5,0.5,5,0.0
"LIST|LIST|ZIPWITH,min,1,0|FILTER,EVEN,2","LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,"LIST|LIST|ZIPWITH,min,0,1|FILTER,EVEN,2",0.75,0.75,0.5,0.75,0.6875,227,21.544456481933597
"LIST|LIST|ZIPWITH,min,1,0|MAP,/4,2","LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",True,0.0,0.75,0.75,0.5,0.75,0.6875,"LIST|LIST|ZIPWITH,min,0,1|MAP,/4,2",0.75,0.75,0.5,0.75,0.6875,182,11.773109436035156
"LIST|MAP,**2,0|FILTER,<0,1","LIST|MAP,**2,0|FILTER,<0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,**2,0|FILTER,<0,1",1.0,1.0,1.0,1.0,1.0,614,90.96693992614746
"LIST|MAP,*-1,0|COUNT,>0,1","LIST|MAP,/4,0|COUNT,<0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,/4,0|COUNT,<0,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,63,0.0
"LIST|MAP,*-1,0|SCAN1L,max,1","LIST|MAP,*-1,0|SCAN1L,max,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|SCAN1L,max,1",1.0,1.0,1.0,1.0,1.0,452,45.94731330871582
"LIST|MAP,*-1,0|TAIL,1","LIST|MAP,*-1,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*-1,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,398,45.94731330871582
"LIST|MAP,*2,0|SCAN1L,max,1","LIST|ZIPWITH,+,0,0|SCAN1L,max,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,"LIST|ZIPWITH,+,0,0|SCAN1L,max,1",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,126,16.00027084350586
"LIST|MAP,*2,0|ZIPWITH,*,1,1","LIST|ZIPWITH,+,0,0|ZIPWITH,*,1,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,"LIST|ZIPWITH,+,0,0|ZIPWITH,*,1,1",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,10,0.0
"LIST|MAP,*3,0|ZIPWITH,min,0,1","LIST|MAP,*3,0|ZIPWITH,min,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,"LIST|MAP,*3,0|ZIPWITH,min,1,0",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,644,94.7401523590088
"LIST|MAP,*4,0|MAP,**2,1","LIST|MAP,*4,0|ZIPWITH,*,1,1",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,"LIST|MAP,*4,0|ZIPWITH,*,1,1",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,891,126.847505569458
"LIST|MAP,*4,0|REVERSE,1","LIST|MAP,*4,0|REVERSE,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,*4,0|REVERSE,1",1.0,1.0,1.0,1.0,1.0,630,95.09634971618652
"LIST|MAP,*4,0|ZIPWITH,-,1,0","LIST|ZIPWITH,min,0,0|MAP,*3,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,min,0,0|MAP,*3,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,32,4.010915756225586
"LIST|MAP,+1,0|COUNT,>0,1","LIST|MAP,/4,0|COUNT,>0,1",True,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,"LIST|MAP,/4,0|COUNT,>0,1",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.5833333333333333,44,6.012439727783203
"LIST|MAP,+1,0|REVERSE,1","LIST|MAP,+1,0|REVERSE,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,+1,0|REVERSE,1",1.0,1.0,1.0,1.0,1.0,470,51.39923095703125
"LIST|MAP,+1,0|ZIPWITH,max,1,0","LIST|MAP,/4,0|MAP,+1,0",True,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,"LIST|MAP,/4,0|MAP,+1,0",0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,7,0.0
"LIST|MAP,-1,0|FILTER,>0,1","LIST|MAP,-1,0|FILTER,>0,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,-1,0|FILTER,>0,1",1.0,1.0,1.0,1.0,1.0,286,32.03558921813965
"LIST|MAP,-1,0|FILTER,ODD,1","LIST|MAP,-1,0|FILTER,ODD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,-1,0|FILTER,ODD,1",1.0,1.0,1.0,1.0,1.0,268,18.61047744750977
"LIST|MAP,/2,0|ZIPWITH,max,1,1","LIST|ZIPWITH,min,0,0|MAP,/2,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,min,0,0|MAP,/2,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,28,0.0
"LIST|MAP,/4,0|HEAD,1","LIST|MAP,/4,0|HEAD,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,/4,0|HEAD,1",1.0,1.0,1.0,1.0,1.0,80,9.588241577148438
"LIST|MAP,/4,0|MAXIMUM,1","LIST|MAP,/4,0|MAXIMUM,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|MAP,/4,0|MAXIMUM,1",1.0,1.0,1.0,1.0,1.0,74,6.483793258666992
"LIST|MAP,/4,0|ZIPWITH,min,1,1","LIST|ZIPWITH,min,0,0|MAP,/4,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,min,0,0|MAP,/4,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,22,6.483793258666992
"LIST|REVERSE,0|MAP,/4,1","LIST|MAP,/4,0|REVERSE,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,/4,0|REVERSE,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,72,0.0
"LIST|REVERSE,0|ZIPWITH,*,1,1","LIST|ZIPWITH,*,0,0|REVERSE,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,*,0,0|REVERSE,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,70,0.0
"LIST|SCAN1L,*,0|ZIPWITH,max,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,*,0,0|SCAN1L,*,0",0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.41666666666666663,1000,241.90163612365723
"LIST|SCAN1L,+,0|MAP,*3,1","LIST|MAP,*3,0|SCAN1L,+,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,*3,0|SCAN1L,+,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,762,170.64523696899414
"LIST|SCAN1L,+,0|MAP,/4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/4,0|SCAN1L,+,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,142.28272438049316
"LIST|SCAN1L,-,0|FILTER,<0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,+,0,0|FILTER,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,160.59637069702148
"LIST|SCAN1L,max,0|MAP,/3,1","LIST|MAP,/3,0|SCAN1L,max,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,/3,0|SCAN1L,max,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,134,21.48604393005371
"LIST|SCAN1L,max,0|ZIPWITH,min,1,0","LIST|ZIPWITH,min,0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,min,0,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,2,0.0
"LIST|SCAN1L,min,0|SCAN1L,*,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|ZIPWITH,*,0,0|SCAN1L,*,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,121.56987190246582
"LIST|SORT,0|ZIPWITH,max,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/4,0|SCAN1L,max,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1003,132.51638412475586
"LIST|TAIL,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,/2,0|FILTER,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,1000,125.6399154663086
"LIST|ZIPWITH,*,0,0|MAP,/2,1","LIST|ZIPWITH,*,0,0|MAP,/2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|ZIPWITH,*,0,0|MAP,/2,1",1.0,1.0,1.0,1.0,1.0,188,23.666858673095703
"LIST|ZIPWITH,+,0,0|MAP,*3,1","LIST|ZIPWITH,+,0,0|MAP,*3,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|ZIPWITH,+,0,0|MAP,*3,1",1.0,1.0,1.0,1.0,1.0,110,13.513803482055664
"LIST|ZIPWITH,+,0,0|SCAN1L,-,1","LIST|ZIPWITH,+,0,0|SCAN1L,-,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|ZIPWITH,+,0,0|SCAN1L,-,1",1.0,1.0,1.0,1.0,1.0,48,2.581119537353516
"LIST|ZIPWITH,+,0,0|ZIPWITH,max,0,1","LIST|ZIPWITH,+,0,0|ZIPWITH,max,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,"LIST|ZIPWITH,+,0,0|ZIPWITH,max,1,0",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,91,14.11890983581543
"LIST|ZIPWITH,-,0,0|MAP,/4,1","LIST|ZIPWITH,+,0,0|ZIPWITH,-,1,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,+,0,0|ZIPWITH,-,1,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,14,0.0
"LIST|ZIPWITH,-,0,0|MAXIMUM,1","LIST|MAP,*2,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|MAP,*2,0|COUNT,ODD,1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,546,60.72378158569336
"LIST|ZIPWITH,-,0,0|ZIPWITH,+,1,0","LIST|ZIPWITH,min,0,0",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,"LIST|ZIPWITH,min,0,0",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,2,0.0
